"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","4","Regression Suite","Chrome Test","TestJson","TestJson","testScreenshot","testScreenshot",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","5","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 16:47:47 GMT 2021","Thu Dec 23 16:47:48 GMT 2021","283","Regression Suite","Chrome Test","TestRest","TestRest","test_post_method_body","json-server users",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","10","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 16:47:51 GMT 2021","Thu Dec 23 16:47:51 GMT 2021","25","Regression Suite","Chrome Test","TestHome","TestHome","testJQuery","testJQuery",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","5","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 16:47:51 GMT 2021","Thu Dec 23 16:47:51 GMT 2021","0","Regression Suite","Chrome Test","TestHome","TestHome","test1","test1",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","3","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 16:47:48 GMT 2021","Thu Dec 23 16:47:48 GMT 2021","21","Regression Suite","Chrome Test","TestRest","TestRest","test_put_user_object","json-server users",""
"passed","Thu Dec 23 16:47:48 GMT 2021","Thu Dec 23 16:47:48 GMT 2021","13","Regression Suite","Chrome Test","TestRest","TestRest","test_read_json_file","json-server users",""
"passed","Thu Dec 23 16:47:46 GMT 2021","Thu Dec 23 16:47:47 GMT 2021","475","Regression Suite","Chrome Test","TestRest","TestRest","test_get_user_array","map response to model",""
"passed","Thu Dec 23 16:47:51 GMT 2021","Thu Dec 23 16:47:52 GMT 2021","328","Regression Suite","Chrome Test","TestHome","TestHome","testJscript","testJscript",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","test1","test1",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","4","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_three","testTwo_three",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","11","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 16:47:47 GMT 2021","Thu Dec 23 16:47:47 GMT 2021","344","Regression Suite","Chrome Test","TestRest","TestRest","test_patch_user","test_patch_user",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_five","testTwo_five",""
"passed","Thu Dec 23 16:47:48 GMT 2021","Thu Dec 23 16:47:51 GMT 2021","2350","Regression Suite","Chrome Test","TestWait","TestWait","testColorWait","testColorWait",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","1","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_one","testTwo_one",""
"passed","Thu Dec 23 16:47:44 GMT 2021","Thu Dec 23 16:47:45 GMT 2021","1115","Regression Suite","Chrome Test","TestRest","TestRest","test_delete_user","test_delete_user",""
"passed","Thu Dec 23 16:47:51 GMT 2021","Thu Dec 23 16:47:51 GMT 2021","62","Regression Suite","Chrome Test","TestHome","TestHome","testFakeGenerator","testFakeGenerator",""
"passed","Thu Dec 23 16:47:46 GMT 2021","Thu Dec 23 16:47:46 GMT 2021","836","Regression Suite","Chrome Test","TestRest","TestRest","test_get_single_user","test_get_single_user",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","5","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","1","Regression Suite","Chrome Test","TestYaml","TestYaml","testContainers","testContainers",""
"passed","Thu Dec 23 16:47:48 GMT 2021","Thu Dec 23 16:47:48 GMT 2021","345","Regression Suite","Chrome Test","TestRest","TestRest","test_post_user","test_post_user",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 16:47:48 GMT 2021","Thu Dec 23 16:47:48 GMT 2021","1","Regression Suite","Chrome Test","TestWait","TestWait","test1","test1",""
"passed","Thu Dec 23 16:47:47 GMT 2021","Thu Dec 23 16:47:47 GMT 2021","129","Regression Suite","Chrome Test","TestRest","TestRest","test_get_users","test_get_users",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","3","Regression Suite","Chrome Test","TestJson","TestJson","testThree_two","testThree_two",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","2","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_four","testTwo_four",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","3","Regression Suite","Chrome Test","XelTest","XelTest","testTwo_two","testTwo_two",""
"passed","Thu Dec 23 16:47:43 GMT 2021","Thu Dec 23 16:47:43 GMT 2021","2","Regression Suite","Chrome Test","TestYaml","TestYaml","testYaml","testYaml",""
"passed","Thu Dec 23 16:47:42 GMT 2021","Thu Dec 23 16:47:42 GMT 2021","16","Regression Suite","Chrome Test","TestJson","TestJson","testJsonPath","testJsonPath",""
"passed","Thu Dec 23 16:47:45 GMT 2021","Thu Dec 23 16:47:46 GMT 2021","284","Regression Suite","Chrome Test","TestRest","TestRest","test_get_method_no_body","json-server users",""
